,I come to lecture:,I've had prior machine learning / data science experience,Which section are you in?,"About how long, in hours, did you study for exam 1?",What year are you?,Did you do the readings?,How many hours a day on average do you spend on sites with infinite scroll?,How many hours of sleep did you get the night before the exam?,Did you leave the exam early?,What grade do you think you got?,I wanted the extra credit but just put down random responses (you'll still get the extra credit if you say yes),Total Score,Max Points
123,Always,Quite a bit,2:00pm,6.7,It's complicated,All of them,1,4.3,No,Prefer not to say,No,48.4,65
124,Always,None,2:00pm,5,Junior,Some of them,0.5,9,No,B,No,26.5,65
125,Less than half the time,Some,2:00pm,10,Senior,None of them,1,7,No,C,No,28.8,65
126,Always,Quite a bit,9:30am,5,Junior,None of them,6,8,Yes,B,No,42.9,65
127,Always,Some,2:00pm,4,Sophomore,All of them,1,6,No,B,No,44.5,65
128,More than half the time,Some,2:00pm,10,Junior,Some of them,4,5,No,C,No,42.3,65
129,Always,None,2:00pm,24,Junior,All of them,3,5,No,C,No,37.8,65
130,More than half the time,Some,2:00pm,15,Junior,All of them,3,1,No,B,No,42.9,65
131,More than half the time,Some,2:00pm,20,Junior,All of them,8,5,No,C,Yes,36.9,65
132,Always,None,2:00pm,6,Senior,All of them,1,7,No,B,No,51,65
133,Always,None,2:00pm,6,Senior,Some of them,1,7,No,B,No,52.9,65
135,More than half the time,Some,9:30am,18,Junior,None of them,3,6,Yes,C,No,52.9,65
136,Always,Some,2:00pm,4,Senior,Some of them,4,8,No,C,No,35.9,65
137,Always,Quite a bit,9:30am,5,Junior,Some of them,4,8,Yes,C,No,44.4,65
138,More than half the time,Some,2:00pm,4,Junior,None of them,3,8,Yes,B,No,44.1,65
139,Always,None,2:00pm,5,Junior,Some of them,3,5,No,D,No,34.4,65
140,More than half the time,None,9:30am,7,Junior,All of them,2,7,No,B,No,40.9,65
141,Always,None,2:00pm,10,Junior,All of them,4,7,No,D,Yes,48.5,65
142,Less than half the time,Some,2:00pm,7,Senior,Some of them,1,8,Yes,B,No,33.9,65
143,Always,Some,2:00pm,24,Junior,Some of them,2,7,No,F,Yes,17.8,65
144,More than half the time,None,9:30am,10,Sophomore,Some of them,6,9,Yes,B,No,51.8,65
145,Always,None,2:00pm,5,Junior,All of them,3,7,Yes,B,No,32.8,65
146,More than half the time,Some,9:30am,7,Junior,None of them,6,4,No,B,No,55.6,65
147,Basically never,None,2:00pm,4,Senior,Some of them,1.75,8,Yes,B,No,49.8,65
148,Basically never,Some,9:30am,5,Sophomore,All of them,3.5,6,No,A,No,51.9,65
149,More than half the time,Quite a bit,2:00pm,2,It's complicated,Some of them,0,6,No,B,No,37.4,65
150,Always,Some,9:30am,8,Junior,Some of them,3,6,No,B,No,41.8,65
151,Always,None,9:30am,10,Junior,Some of them,2,4,Yes,B,No,43.9,65
152,Basically never,Some,9:30am,4,Junior,None of them,2,8,No,D,No,43.3,65
153,Always,Some,2:00pm,14,Senior,All of them,2,5,No,B,No,29.4,65
154,More than half the time,Some,9:30am,8,It's complicated,Some of them,5,6,No,B,No,43.3,65
155,Always,None,9:30am,10,Junior,All of them,5,5,No,B,No,53.9,65
156,More than half the time,Some,2:00pm,10,Junior,Some of them,5,6,No,C,No,45.9,65
157,More than half the time,Some,2:00pm,10,Junior,All of them,4,5.5,No,C,No,35.8,65
158,Always,Some,2:00pm,10,Junior,Some of them,2,7.5,No,C,No,39.3,65
159,Always,None,9:30am,15,Junior,Some of them,5,6,No,C,No,27.3,65
160,Less than half the time,Some,9:30am,6,Junior,Some of them,2,4,No,C,No,37.9,65
161,Always,Some,2:00pm,5,Junior,Some of them,2,6,No,B,No,42.8,65
162,Always,Quite a bit,9:30am,7,Junior,Some of them,5,7,No,B,No,42.4,65
163,More than half the time,Quite a bit,2:00pm,10,Junior,Some of them,0.25,8,No,A,No,55.9,65
164,Basically never,None,9:30am,5,Junior,All of them,2,7,Yes,B,No,54.4,65
165,Less than half the time,None,9:30am,5,Junior,Some of them,2,4,No,C,No,40,65
166,Always,Some,2:00pm,8,Junior,I don't want to respond,2,4,No,C,No,28.9,65
167,Less than half the time,Some,2:00pm,8,Junior,Some of them,6,1.5,No,Prefer not to say,No,10.3,65
168,Always,None,2:00pm,8,Sophomore,All of them,2,6,No,A,No,59.5,65
169,More than half the time,Some,2:00pm,5,Senior,Some of them,3,5,No,F,No,32.5,65
170,Always,None,2:00pm,10,Sophomore,Some of them,5,7,No,B,No,42.4,65
171,Always,Some,2:00pm,7,Junior,Some of them,2,7,No,B,No,45.4,65
172,More than half the time,None,2:00pm,4,Senior,All of them,0,4,Yes,B,No,58.1,65
173,Always,None,2:00pm,10,Junior,All of them,2,9,No,C,No,46.4,65
174,Always,Quite a bit,9:30am,2.5,Sophomore,None of them,0.5,6,Yes,B,No,41.8,65
175,More than half the time,Some,9:30am,4,Junior,Some of them,4,7,No,C,No,21.9,65
176,Basically never,Quite a bit,2:00pm,6,Junior,Some of them,2,8,No,B,No,28.4,65
177,Always,Some,2:00pm,3,Junior,All of them,2,8,Yes,B,No,44.1,65
178,More than half the time,Quite a bit,2:00pm,7,Junior,All of them,2,5,No,B,No,54.3,65
179,Always,None,9:30am,8,Junior,Some of them,4,6,No,D,No,43,65
180,More than half the time,None,2:00pm,15,Junior,All of them,1,4,No,B,No,45.8,65
181,More than half the time,Some,9:30am,2,Junior,All of them,2,0,Yes,B,No,41,65
182,Always,Some,9:30am,6,Junior,Some of them,4,7,No,C,No,34.3,65
183,Less than half the time,Some,9:30am,3,Junior,Some of them,0,2,No,Prefer not to say,No,22.8,65
184,Always,Some,2:00pm,12,Junior,Some of them,0.3,4,No,B,Yes,41.8,65
185,Always,None,9:30am,10,Junior,Some of them,4,3,No,D,No,18,65
186,Always,None,9:30am,6,Junior,None of them,6,8,Yes,B,No,33.1,65
187,More than half the time,None,9:30am,12,Junior,Some of them,3,5,No,C,No,37.8,65
188,Always,Some,2:00pm,4,Senior,Some of them,2,7,No,B,No,35.9,65
189,Always,None,2:00pm,3,Senior,All of them,3,8,Yes,C,No,41.7,65
190,More than half the time,Some,2:00pm,47,Junior,Some of them,2,7,No,B,No,39.5,65
191,Always,Some,2:00pm,8,Junior,All of them,3,9,No,C,No,50.3,65
192,Always,None,9:30am,10,Junior,Some of them,0,9,No,B,No,51.4,65
193,More than half the time,Some,2:00pm,11,Junior,All of them,6,7,No,D,No,37.4,65
